FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_hoje_ref.0a7f2a35-7035-3582-a1f3-716240d4a086,-40.778,-14.875,2019-10-19T16:10:00,AQUA_M-T,VITÓRIA DA CONQUISTA,BAHIA,Brasil,POINT (-14.875 -40.778)
focos_ams_hoje_ref.0a851c77-6683-3b4d-b09c-871147652cd2,-41.046,-15.753,2019-10-19T16:10:00,AQUA_M-T,DIVISÓPOLIS,MINAS GERAIS,Brasil,POINT (-15.753 -41.046)
focos_ams_hoje_ref.0ac4c0d2-e7ec-308c-961e-e1353e00820e,-41.813,-15.084,2019-10-19T16:10:00,AQUA_M-T,CORDEIROS,BAHIA,Brasil,POINT (-15.084 -41.813)
focos_ams_hoje_ref.0aeb37f9-7119-324c-bc15-95a9552e93f0,-40.855,-6.757,2019-10-19T16:15:00,AQUA_M-T,PIO IX,PIAUÍ,Brasil,POINT (-6.757 -40.855)
focos_ams_hoje_ref.0b4747f2-45c1-3831-abfe-16a2bbfed016,-41.685,-6.912,2019-10-19T16:15:00,AQUA_M-T,DOM EXPEDITO LOPES,PIAUÍ,Brasil,POINT (-6.912 -41.685)
focos_ams_hoje_ref.0ba50587-a9ae-3ec6-a478-2ebce7c16fb2,-42.723,-19.131,2019-10-19T16:10:00,AQUA_M-T,BRAÚNAS,MINAS GERAIS,Brasil,POINT (-19.131 -42.723)
focos_ams_hoje_ref.0bb616a0-8fbb-3131-9612-051b9c07ea71,-42.432,-13.618,2019-10-19T16:10:00,AQUA_M-T,TANQUE NOVO,BAHIA,Brasil,POINT (-13.618 -42.432)
focos_ams_hoje_ref.0bc96025-2c5e-31e5-81d4-800cd3fcc1be,-42.394,-19.755,2019-10-19T16:10:00,AQUA_M-T,PINGO D'ÁGUA,MINAS GERAIS,Brasil,POINT (-19.755 -42.394)
focos_ams_hoje_ref.0be470ed-7cee-3084-9c3b-1dc855107041,-46.211,-6.584,2019-10-19T16:15:00,AQUA_M-T,FORMOSA DA SERRA NEGRA,MARANHÃO,Brasil,POINT (-6.584 -46.211)
focos_ams_hoje_ref.0c4c0841-e772-3fd1-bbe3-c8440c3dde2c,-42.24,-18.1,2019-10-19T16:10:00,AQUA_M-T,ÁGUA BOA,MINAS GERAIS,Brasil,POINT (-18.1 -42.24)
focos_ams_hoje_ref.0c6d4b91-2fdf-31e5-83f2-4e34e970df99,-42.833,-13.564,2019-10-19T16:10:00,AQUA_M-T,RIACHO DE SANTANA,BAHIA,Brasil,POINT (-13.564 -42.833)
focos_ams_hoje_ref.0cb0303d-ba4d-3e50-846f-a24fade672b3,-42.994,-7.901,2019-10-19T16:15:00,AQUA_M-T,PAJEÚ DO PIAUÍ,PIAUÍ,Brasil,POINT (-7.901 -42.994)
focos_ams_hoje_ref.0d37d1a1-9c5e-3547-a559-edac34016ba5,-79.841,-1.515,2019-10-19T19:30:00,AQUA_M-T,Vinces,Los Rios,Ecuador,POINT (-1.515 -79.841)
focos_ams_hoje_ref.0d62159c-21a4-3e47-a538-2dac158e6fda,-38.876,-4.074,2019-10-19T16:15:00,AQUA_M-T,MARANGUAPE,CEARÁ,Brasil,POINT (-4.074 -38.876)
focos_ams_hoje_ref.0d84e28f-b98b-3d1a-9886-c10f27071278,-45.073,-16.581,2019-10-19T16:10:00,AQUA_M-T,PONTO CHIQUE,MINAS GERAIS,Brasil,POINT (-16.581 -45.073)
focos_ams_hoje_ref.0db13252-c3ee-336d-98ea-47e3a6d90068,-63.972,-8.942,2019-10-19T17:50:00,AQUA_M-T,PORTO VELHO,RONDÔNIA,Brasil,POINT (-8.942 -63.972)
focos_ams_hoje_ref.0dfca8ed-ddd2-3b88-bde1-6b6eb4947f38,-45.927,-5.111,2019-10-19T16:15:00,AQUA_M-T,ARAME,MARANHÃO,Brasil,POINT (-5.111 -45.927)
focos_ams_hoje_ref.0dfd1521-ff16-3fd4-a256-2c75fceb74b5,-41.239,-15.019,2019-10-19T16:10:00,AQUA_M-T,BELO CAMPO,BAHIA,Brasil,POINT (-15.019 -41.239)
focos_ams_hoje_ref.0dff3f34-2ea4-3db0-9b60-56c7f92eb511,-42.687,-19.217,2019-10-19T16:10:00,AQUA_M-T,JOANÉSIA,MINAS GERAIS,Brasil,POINT (-19.217 -42.687)
focos_ams_hoje_ref.0e13dbf1-a38f-3646-8662-d86442ccf43c,-45.066,-16.597,2019-10-19T16:10:00,AQUA_M-T,PONTO CHIQUE,MINAS GERAIS,Brasil,POINT (-16.597 -45.066)
focos_ams_hoje_ref.0e9ea27b-2507-31da-a887-1d127427e140,-50.867,2.095,2019-10-19T16:15:00,AQUA_M-T,AMAPÁ,AMAPÁ,Brasil,POINT (2.095 -50.867)
focos_ams_hoje_ref.0edef5a2-de2f-34ae-bfe2-9745408a627c,-68.666,4.778,2019-10-19T17:55:00,AQUA_M-T,Santa Rita,Vichada,Colombia,POINT (4.778 -68.666)
focos_ams_hoje_ref.0f4177bd-d107-3bfc-8e9b-f5989f661726,-42.317,-14.848,2019-10-19T16:10:00,AQUA_M-T,JACARACI,BAHIA,Brasil,POINT (-14.848 -42.317)
